step,delta_from_baseline_pct,SM,lambda_dutch_roll_+_real_s-1,lambda_dutch_roll_+_imag_s-1,lambda_dutch_roll_−_real_s-1,lambda_dutch_roll_−_imag_s-1,lambda_roll_real_s-1,lambda_roll_imag_s-1,lambda_spiral_real_s-1,lambda_spiral_imag_s-1
0,0.0,0.14663955786874827,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
1,5.0,0.1539715357621857,-0.4881666083812382,2.342623021126707,-0.4881666083812382,-2.342623021126707,-8.435802597710461,0.0,-0.008937378513406865,0.0
2,10.0,0.16130351365562312,-0.49026609338238597,2.3520567631271887,-0.49026609338238597,-2.3520567631271887,-8.435797747405593,0.0,-0.008731807145216777,0.0
3,15.000000000000002,0.1686354915490605,-0.49236886285692605,2.361450316068562,-0.49236886285692605,-2.361450316068562,-8.43579289479719,0.0,-0.008530046631009522,0.0
4,20.0,0.17596746944249791,-0.4944749619987007,2.3708041488936558,-0.4944749619987007,-2.3708041488936558,-8.435788039868347,0.0,-0.008332006600003428,0.0
5,25.0,0.18329944733593534,-0.49658443458122975,2.3801187210075785,-0.49658443458122975,-2.3801187210075785,-8.435783182602158,0.0,-0.008137599522073,0.0
6,30.000000000000004,0.19063142522937276,-0.4986973230132022,2.389394482544833,-0.4986973230132022,-2.389394482544833,-8.435778322981706,0.0,-0.007946740596755592,0.0
7,35.0,0.1979634031228102,-0.5008136683913902,2.3986318746268633,-0.5008136683913902,-2.3986318746268633,-8.435773460990074,0.0,-0.007759347647431968,0.0
8,40.0,0.20529538101624756,-0.502933510551105,2.4078313296104548,-0.502933510551105,-2.4078313296104548,-8.435768596610316,0.0,-0.0075753410204026815,0.0
9,45.0,0.21262735890968498,-0.5050568881143519,2.4169932713274163,-0.5050568881143519,-2.4169932713274163,-8.43576372982552,0.0,-0.0073946434885953215,0.0
10,50.0,0.2199593368031224,-0.507183838535777,2.4261181153158144,-0.507183838535777,-2.4261181153158144,-8.435758860618744,0.0,-0.007217180159658676,0.0
