step,delta_from_baseline_pct,SM,lambda_phugoid_+_real_s-1,lambda_phugoid_+_imag_s-1,lambda_phugoid_−_real_s-1,lambda_phugoid_−_imag_s-1,lambda_short-period_+_real_s-1,lambda_short-period_+_imag_s-1,lambda_short-period_−_real_s-1,lambda_short-period_−_imag_s-1
0,0.0,0.14663955786874827,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
1,5.0,0.1539715357621857,-0.017082811897085055,0.21346334270468084,-0.017082811897085055,-0.21346334270468084,-2.5181012657038764,2.6718987232986406,-2.5181012657038764,-2.6718987232986406
2,10.0,0.16130351365562312,-0.017143295655685967,0.21484999190507417,-0.017143295655685967,-0.21484999190507417,-2.525870175003499,2.7496507254060476,-2.525870175003499,-2.7496507254060476
3,15.000000000000002,0.1686354915490605,-0.017206003539083036,0.21613882931977307,-0.017206003539083036,-0.21613882931977307,-2.5336572308741676,2.825238532949889,-2.5336572308741676,-2.825238532949889
4,20.0,0.17596746944249791,-0.017270172373745604,0.21733981558046897,-0.017270172373745604,-0.21733981558046897,-2.541463196489401,2.8988313103725876,-2.541463196489401,-2.8988313103725876
5,25.0,0.18329944733593534,-0.01733519568502694,0.2184615982054637,-0.01733519568502694,-0.2184615982054637,-2.5492886783238466,2.970577148273869,-2.5492886783238466,-2.970577148273869
6,30.000000000000004,0.19063142522937276,-0.017400591653710013,0.21951172220106335,-0.017400591653710013,-0.21951172220106335,-2.557134158196729,3.040606569021022,-2.557134158196729,-3.040606569021022
7,35.0,0.1979634031228102,-0.017465978038108728,0.22049680114212056,-0.017465978038108728,-0.22049680114212056,-2.565000018349725,3.1090353162094155,-2.565000018349725,-3.1090353162094155
8,40.0,0.20529538101624756,-0.01753105243314492,0.22142265717943718,-0.01753105243314492,-0.22142265717943718,-2.572886561187917,3.1759665990337314,-2.572886561187917,-3.1759665990337314
9,45.0,0.21262735890968498,-0.01759557664701754,0.22229443640502328,-0.01759557664701754,-0.22229443640502328,-2.580794024903109,3.241492916356801,-2.580794024903109,-3.241492916356801
10,50.0,0.2199593368031224,-0.017659364275251926,0.22311670451910254,-0.017659364275251926,-0.22311670451910254,-2.5887225958997666,3.305697552852974,-2.5887225958997666,-3.305697552852974
