step,delta_from_baseline_pct,Vh,lambda_phugoid_+_real_s-1,lambda_phugoid_+_imag_s-1,lambda_phugoid_−_real_s-1,lambda_phugoid_−_imag_s-1,lambda_short-period_+_real_s-1,lambda_short-period_+_imag_s-1,lambda_short-period_−_real_s-1,lambda_short-period_−_imag_s-1
0,0.0,0.6559877955758963,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
1,5.0,0.6887871853546911,-0.01719948947883199,0.21257799665165386,-0.01719948947883199,-0.21257799665165386,-2.588824757823289,2.680757588133418,-2.588824757823289,-2.680757588133418
2,10.0,0.721586575133486,-0.017355653073497488,0.21310198505532793,-0.017355653073497488,-0.21310198505532793,-2.667317786292188,2.7649460256413962,-2.667317786292188,-2.7649460256413962
3,15.000000000000002,0.7543859649122807,-0.01749643242866296,0.2135541020335881,-0.01749643242866296,-0.2135541020335881,-2.7458261990005797,2.8447757485120095,-2.7458261990005797,-2.8447757485120095
4,20.0,0.7871853546910755,-0.01762385195471673,0.21394596401768629,-0.01762385195471673,-0.21394596401768629,-2.8243479715380815,2.920602668033038,-2.8243479715380815,-2.920602668033038
5,25.0,0.8199847444698704,-0.017739607865452353,0.21428682053951573,-0.017739607865452353,-0.21428682053951573,-2.902881407690913,2.992729833167285,-2.902881407690913,-2.992729833167285
6,30.000000000000004,0.8527841342486652,-0.01784512905381572,0.21458412710054145,-0.01784512905381572,-0.21458412710054145,-2.9814250785661107,3.0614177617519935,-2.9814250785661107,-3.0614177617519935
7,35.0,0.8855835240274601,-0.017941625819274658,0.21484395950321114,-0.017941625819274658,-0.21484395950321114,-3.059977773864208,3.1268922971015316,-3.059977773864208,-3.1268922971015316
8,40.0,0.9183829138062547,-0.018030128861454546,0.21507131853309264,-0.018030128861454546,-0.21507131853309264,-3.1385384628855864,3.1893506791113606,-3.1385384628855864,-3.1893506791113606
9,45.0,0.9511823035850496,-0.01811152055454976,0.2152703573890597,-0.01811152055454976,-0.2152703573890597,-3.2171062632560554,3.248966302761265,-3.2171062632560554,-3.248966302761265
10,50.0,0.9839816933638444,-0.018186560122967488,0.21544455376934524,-0.018186560122967488,-0.21544455376934524,-3.2956804157511943,3.30589249546195,-3.2956804157511943,-3.30589249546195
