step,delta_from_baseline_pct,Vv,lambda_dutch_roll_+_real_s-1,lambda_dutch_roll_+_imag_s-1,lambda_dutch_roll_−_real_s-1,lambda_dutch_roll_−_imag_s-1,lambda_roll_real_s-1,lambda_roll_imag_s-1,lambda_spiral_real_s-1,lambda_spiral_imag_s-1
0,0.0,0.03254360843530331,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
1,5.0,0.03417078885706847,-0.5136091189639049,2.5126934364376265,-0.5136091189639049,-2.5126934364376265,-8.43672105648626,0.0,-0.003895794471804544,0.0
2,10.0,0.03579796927883364,-0.5405231623894402,2.6800803094581243,-0.5405231623894402,-2.6800803094581243,-8.437622269836535,0.0,9.343899799225597e-05,0.0
3,15.000000000000002,0.0374251497005988,-0.5670152490104756,2.8374823234515043,-0.5670152490104756,-2.8374823234515043,-8.438511312334205,0.0,0.003226588006208986,0.0
4,20.0,0.03905233012236397,-0.5932094612920222,2.986491256938212,-0.5932094612920222,-2.986491256938212,-8.439388404848637,0.0,0.005752038352179081,0.0
5,25.0,0.04067951054412914,-0.6191860194782832,3.1283148320818586,-0.6191860194782832,-3.1283148320818586,-8.4402537627504,0.0,0.007830445894925887,0.0
6,30.000000000000004,0.0423066909658943,-0.6449990957300455,3.2638953510022355,-0.6449990957300455,-3.2638953510022355,-8.44110759609043,0.0,0.009570365006960442,0.0
7,35.0,0.043933871387659466,-0.6706865917591065,3.3939849496018546,-0.6706865917591065,-3.3939849496018546,-8.441950109771803,0.0,0.011047804014932204,0.0
8,40.0,0.04556105180942463,-0.6962758168358123,3.519195427862914,-0.6962758168358123,-3.519195427862914,-8.442781503714585,0.0,0.012317581379581508,0.0
9,45.0,0.0471882322311898,-0.7217869418304652,3.640032434989889,-0.7217869418304652,-3.640032434989889,-8.443601973014104,0.0,0.013420233936867521,0.0
10,50.0,0.04881541265295496,-0.7472351838464112,3.7569196289144826,-0.7472351838464112,-3.7569196289144826,-8.444411708093067,0.0,0.01438638631619098,0.0
