step,delta_from_baseline_pct,Vv,lambda_phugoid_+_real_s-1,lambda_phugoid_+_imag_s-1,lambda_phugoid_−_real_s-1,lambda_phugoid_−_imag_s-1,lambda_short-period_+_real_s-1,lambda_short-period_+_imag_s-1,lambda_short-period_−_real_s-1,lambda_short-period_−_imag_s-1
0,0.0,0.03254360843530331,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
1,5.0,0.03417078885706847,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
2,10.0,0.03579796927883364,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
3,15.000000000000002,0.0374251497005988,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
4,20.0,0.03905233012236397,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
5,25.0,0.04067951054412914,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
6,30.000000000000004,0.0423066909658943,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
7,35.0,0.043933871387659466,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
8,40.0,0.04556105180942463,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
9,45.0,0.0471882322311898,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
10,50.0,0.04881541265295496,-0.017025513338227244,0.21196734663582664,-0.017025513338227244,-0.21196734663582664,-2.510349541900334,2.5917878282584876,-2.510349541900334,-2.5917878282584876
